Id;Country;StartDate;EndDate;Type;Name;Subdivisions;
582b706f-8424-4ad5-a154-f6ca16146c9a;MY;2025-01-01;;Public;EN Tahun Baharu;KUL,LBN,PJY,MLK,NSN,PHG,PRK,PNG,SBH,SWK,SGR;
3ceae0c8-e0b4-4b97-81c0-2d7d8aef2b9b;MY;2025-01-14;;Public;EN Hari Keputeraan Yang di-Pertuan Besar Negeri Sembilan;NSN;
45b543b9-1851-4de1-9f23-3bff90910505;MY;2025-01-27;;Public;EN Israk dan Mikraj;KDH,NSN,PLS,TRG;
38a77d5d-5d04-4062-9468-e682ceaf532b;MY;2025-01-29;;Public;EN Tahun Baharu Cina;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
b76250fe-1cae-4bc5-8c08-e1b112a92d8b;MY;2025-01-30;;Public;EN Tahun Baharu Cina (Hari Kedua);KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
e5b26d6b-458c-4987-be93-c65e2384e108;MY;2025-02-01;;Public;EN Hari Wilayah Persekutuan;KUL,LBN,PJY;
3f4402e6-8cfc-4694-bef4-0bb3de782d6d;MY;2025-02-11;;Public;EN Hari Thaipusam;KUL,PJY,JHR,NSN,PRK,PNG,SGR;
90f3f82a-1af6-4588-988f-d51163de2651;MY;2025-02-20;;Public;EN Hari Pengisytiharan Tarikh Kemerdekaan;MLK;
8c649734-02be-4770-bc6b-b8df47ee3f54;MY;2025-03-02;;Public;EN Awal Ramadan;JHR,KDH;
010e9d3a-fca8-4898-9041-710a3e327c56;MY;2025-03-04;;Public;EN Hari Ulang Tahun Pertabalan Sultan Terengganu;TRG;
fe16b749-3b13-44d0-a9bb-63924e96e03c;MY;2025-03-18;;Public;EN Hari Nuzul Al-Quran;KUL,LBN,PJY,KTN,PHG,PRK,PLS,PNG,SGR,TRG;
821afbba-6b42-447a-8739-d56745e3b52e;MY;2025-03-23;;Public;EN Hari Keputeraan Sultan Johor;JHR;
35eaae8b-b998-4219-a924-aea61f7df355;MY;2025-03-31;;Public;EN Hari Raya Puasa;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
07da3429-1c26-4345-9728-239d45ec3e65;MY;2025-04-01;;Public;EN Hari Raya Puasa (Hari Kedua);KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
92fb4f37-9dc4-4a15-8d28-503891df92ed;MY;2025-04-02;;Public;EN Hari Raya Puasa (Hari Ketiga);MLK;
3ee0badb-b5f0-4d13-b775-a0ade13e5576;MY;2025-04-18;;Public;EN Good Friday;SBH,SWK;
9b5dbbde-34d6-4af9-b7fd-45b9d8bb7b88;MY;2025-04-26;;Public;EN Hari Keputeraan Sultan Terengganu;TRG;
feef5450-d03c-4414-b004-6a6fbe9b2460;MY;2025-05-01;;Public;EN Hari Pekerja;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
688c1c06-8eff-4ffc-a4f9-add353891c3b;MY;2025-05-12;;Public;EN Hari Wesak;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
9bdfc81a-0dd3-44f2-a615-c9899ebc6fd4;MY;2025-05-17;;Public;EN Hari Ulang Tahun Keputeraan Raja Perlis;PLS;
e8282eae-967c-4c1f-8ee3-e2d0b74bbb66;MY;2025-05-22;;Public;EN Hari Hol Almarhum Sultan Ahmad Shah AL-Musta'in Billah Ibni Almarhum Sultan Abu Bakar;PHG;
5624a660-6344-4d6f-8bc3-21b54ae0db8e;MY;2025-05-30;;Public;EN Pesta Kaamatan (Pesta Menuai);LBN,SBH;
cf328996-8691-4b6d-926b-bb5de705055e;MY;2025-05-31;;Public;EN Pesta Kaamatan (Pesta Menuai);LBN,SBH;
4a9d17fb-f6c8-444c-9264-7b3f2628e2c8;MY;2025-06-01;;Public;EN Perayaan Hari Gawai Dayak;SWK;
053c5ba1-da75-4311-9599-b22cff2b0e8b;MY;2025-06-02;;Public;EN Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
fdde1516-2499-458b-8d61-451a0c1c4004;MY;2025-06-02;;Public;EN Perayaan Hari Gawai Dayak;SWK;
ed03ae77-a746-4a9a-aa7d-4f83f112daf1;MY;2025-06-06;;Public;EN Hari Arafah;KTN,TRG;
f5df4fe2-b215-44b5-9913-21fbc92427c9;MY;2025-06-07;;Public;EN Hari Raya Qurban;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
df38c44e-c5e3-4673-81b7-1e1e3d49d5c6;MY;2025-06-08;;Public;EN Hari Raya Qurban (Hari Kedua);KDH,KTN,PLS,TRG;
2639ac2e-b7aa-468d-927e-3b05261a2fc0;MY;2025-06-22;;Public;EN Hari Keputeraan Sultan Kedah;KDH;
95eec934-e79b-4a9a-9278-11c49112aa4a;MY;2025-06-27;;Public;EN Awal Muharram (Maal Hijrah);KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
57e3620d-9e57-4f0e-be71-194944304cb4;MY;2025-07-07;;Public;EN Hari Ulang Tahun Perisytiharan Tapak Warisan Dunia;PNG;
008b8ab7-bf92-4299-8624-75b92d53eef3;MY;2025-07-12;;Public;EN Hari Jadi Yang di-Pertua Negeri Pulau Pinang;PNG;
e35fa845-629f-4c0d-9506-3ea6ce590a13;MY;2025-07-22;;Public;EN Hari Kemerdekaan Sarawak;SWK;
af7c2390-e028-4817-be4e-6add6dfed43e;MY;2025-07-30;;Public;EN Hari Keputeraan Sultan Pahang;PHG;
a8ebf562-f3bc-4938-9bb4-bf56a9502c50;MY;2025-07-31;;Public;EN Hari Hol Almarhum Sultan Iskandar;JHR;
58e940e9-f158-4e18-8365-541035dfef59;MY;2025-08-24;;Public;EN Hari Jadi Yang di-Pertua Negeri Melaka;MLK;
91aff7b0-7359-4c92-b8ef-27a59b8eb650;MY;2025-08-31;;Public;EN Hari Kebangsaan;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
707645b6-1cbc-4beb-9e83-b00e5c6ce783;MY;2025-09-05;;Public;EN Hari Keputeraan Nabi Muhammad S.A.W. (Maulidur Rasul);KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
c49fecf1-f5f6-45b4-8131-124b6c1b4304;MY;2025-09-16;;Public;EN Hari Malaysia;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
86c02322-c6de-4d57-9153-b0ff3ed980b6;MY;2025-09-29;;Public;EN Hari Keputeraan Sultan Kelantan;KTN;
4279697c-f13d-4513-90e2-dfa4bf9fc6a6;MY;2025-09-30;;Public;EN Hari Keputeraan Sultan Kelantan;KTN;
d7a2bf61-5a3f-4d9b-b2e9-8f02b5fb6341;MY;2025-10-04;;Public;EN Hari Jadi Yang di-Pertua Negeri Sabah;SBH;
38cd9048-ba64-4b69-a6be-d543b5120e4a;MY;2025-10-11;;Public;EN Hari Jadi Yang di-Pertua Negeri Sarawak;SWK;
6d35cae8-5474-4215-857f-40b2268cef3d;MY;2025-10-20;;Public;EN Hari Deepavali;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SGR,TRG;
5f9f1e71-a326-4243-804e-0c18325f485a;MY;2025-11-07;;Public;EN Hari Keputeraan Sultan Perak;PRK;
6d6fe877-e8dd-4529-a824-2090bf2c7db0;MY;2025-12-11;;Public;EN Hari Keputeraan Sultan Selangor;SGR;
76f35476-c418-4574-9403-148907c9a101;MY;2025-12-24;;Public;EN Christmas Eve;SBH;
7be9c63f-e438-492a-a1e8-b9d96a9d51ec;MY;2025-12-25;;Public;EN Hari Krismas;KUL,LBN,PJY,JHR,KDH,KTN,MLK,NSN,PHG,PRK,PLS,PNG,SBH,SWK,SGR,TRG;
